batch,apa,pde,excluded_channels
1,1,0.4,"[10500, 10512, 10710]"
1,1,0.45,"[10512, 10710]"
1,1,0.5,"[10512, 10710]"
1,2,0.4,"[10913, 10914, 10916, 10917, 10910, 10911, 10933]"
1,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
1,2,0.5,"[10913, 10914, 10916, 10917, 10910, 10911, 10915]"
1,3,0.4,"[11131, 11101]"
1,3,0.45,[11131]
1,3,0.5,"[11131, 11115]"
1,4,0.4,"[11233, 11300, 11305, 11211, 11307, 11222]"
1,4,0.45,"[11233, 11300, 11305, 11211, 11307, 11222]"
1,4,0.5,"[11233, 11211]"
2,1,0.4,"[10401, 10404, 10405, 10412, 10413, 10416, 10417, 10500, 10503, 10505, 10512, 10705, 10712, 10715, 10717, 10710, 10700, 10702, 10707]"
2,1,0.45,"[10512, 10700, 10702, 10705, 10707, 10710, 10712, 10715, 10717]"
2,1,0.5,"[10400, 10403, 10405, 10406, 10410, 10413, 10415, 10416, 10500, 10501, 10505, 10506, 10510, 10512, 10515, 10517, 10523, 10700, 10707, 10710, 10712, 10717]"
2,2,0.4,"[10913, 10914, 10916, 10917, 10907, 10910, 10911]"
2,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
2,2,0.5,"[10913, 10914, 10916, 10917, 10910, 10911]"
2,3,0.4,[11131]
2,3,0.45,[11131]
2,3,0.5,"[11131, 11115, 11101]"
2,4,0.4,"[11233, 11300, 11302, 11211, 11307]"
2,4,0.45,"[11307, 11211, 11233]"
2,4,0.5,"[11211, 11222, 11233]"
3,2,0.4,"[10913, 10914, 10916, 10917, 10910, 10911]"
3,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
3,2,0.5,"[10913, 10914, 10916, 10917, 10910, 10911]"
3,3,0.4,"[11131, 11101]"
3,3,0.45,[11131]
3,3,0.5,"[11131, 11115]"
3,4,0.4,"[11233, 11300, 11302, 11305, 11211, 11307, 11222]"
3,4,0.45,"[11233, 11211]"
3,4,0.5,"[11233, 11211]"
4,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707]"
4,2,0.45,"[10933, 10913, 10914, 10916, 10917, 10910, 10911]"
4,3,0.45,[11131]
4,4,0.45,[]
5,1,0.45,[10512]
5,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
5,3,0.45,[11131]
5,4,0.45,[]
6,3,0.45,[]
6,4,0.45,[]
7,2,0.4,"[10913, 10914, 10916, 10917, 10910, 10911]"
7,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
7,2,0.50,"[10913, 10914, 10916, 10917, 10910, 10911]"
7,3,0.4,[11131]
7,3,0.45,[11131]
7,3,0.50,[11131]
7,4,0.4,[]
7,4,0.45,[]
7,4,0.50,[]