run,batch,acquired_apas,aimed_channels,pde
29823,3192,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.4
29824,3192,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.4
29825,3192,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.4
29826,3192,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.4
29827,3192,"[3,4]","[11136]",0.4
29828,3192,"[3,4]","[11101,11103,11104,11106,11127]",0.4
29829,3192,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.45
29830,3192,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.45
29831,3192,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.45
29832,3192,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.45
29833,3192,"[3,4]","[11136]",0.45
29834,3192,"[3,4]","[11101,11103,11104,11106,11127]",0.45
29835,3192,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.5
29836,3192,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.5
29837,3192,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.5
29838,3192,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.5
29839,3192,"[3,4]","[11136]",0.5
29860,3192,"[3,4]","[11101,11103,11104,11106,11127]",0.5
31157,3192,"[1,2]","[10401,10403,10411,10413,10415,10445,10447,10914,10916,10941]",0.4
31158,3192,"[1,2]","[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446,10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",0.4
31160,3192,"[1,2]","[10404,10412,10416,10421,10433,10434,10435,10437,10903,10904,10906,10911,10917,10922,10947]",0.4
31161,3192,"[1,2]","[10402,10423,10424,10427,10436,10900,10901,10902,10905,10907,10920,10924,10946]",0.4
31162,3192,"[1,2]","[10400,10406,10425,10426,10923]",0.4
31163,3192,"[1,2]","[10420,10422,10921]",0.4
31165,3192,"[1,2]","[10401,10403,10411,10413,10415,10445,10447,10914,10916,10941]",0.45
31166,3192,"[1,2]","[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446,10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",0.45
31167,3192,"[1,2]","[10404,10412,10416,10421,10433,10434,10435,10437,10903,10904,10906,10911,10917,10922,10947]",0.45
31168,3192,"[1,2]","[10402,10423,10424,10427,10436,10900,10901,10902,10905,10907,10920,10924,10946]",0.45
31169,3192,"[1,2]","[10400,10406,10425,10426,10923]",0.45
31170,3192,"[1,2]","[10420,10422,10921]",0.45
31172,3192,"[1,2]","[10401,10403,10411,10413,10415,10445,10447,10914,10916,10941]",0.5
31173,3192,"[1,2]","[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446,10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",0.5
31174,3192,"[1,2]","[10404,10412,10416,10421,10433,10434,10435,10437,10903,10904,10906,10911,10917,10922,10947]",0.5
31175,3192,"[1,2]","[10402,10423,10424,10427,10436,10900,10901,10902,10905,10907,10920,10924,10946]",0.5
31177,3192,"[1,2]","[10400,10406,10425,10426,10923]",0.5
31178,3192,"[1,2]","[10420,10422,10921]",0.5
29861,2926,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.4
29862,2926,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.4
29863,2926,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.4
29864,2926,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.4
29865,2926,"[3,4]","[11136]",0.4
29866,2926,"[3,4]","[11101,11103,11104,11106,11127]",0.4
29867,2926,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.45
29868,2926,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.45
29869,2926,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.45
29870,2926,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.45
29871,2926,"[3,4]","[11136]",0.45
29872,2926,"[3,4]","[11101,11103,11104,11106,11127]",0.45
29873,2926,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.5
29874,2926,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.5
29875,2926,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.5
29876,2926,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.5
29877,2926,"[3,4]","[11136]",0.5
29878,2926,"[3,4]","[11101,11103,11104,11106,11127]",0.5
31179,2926,"[1,2]","[10401,10403,10411,10413,10415,10445,10447,10914,10916,10941]",0.4
31180,2926,"[1,2]","[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446,10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",0.4
31181,2926,"[1,2]","[10404,10412,10416,10421,10433,10434,10435,10437,10903,10904,10906,10911,10917,10922,10947]",0.4
31183,2926,"[1,2]","[10402,10423,10424,10427,10436,10900,10901,10902,10905,10907,10920,10924,10946]",0.4
31184,2926,"[1,2]","[10400,10406,10425,10426,10923]",0.4
31185,2926,"[1,2]","[10420,10422,10921]",0.4
31186,2926,"[1,2]","[10401,10403,10411,10413,10415,10445,10447,10914,10916,10941]",0.45
31187,2926,"[1,2]","[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446,10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",0.45
31188,2926,"[1,2]","[10404,10412,10416,10421,10433,10434,10435,10437,10903,10904,10906,10911,10917,10922,10947]",0.45
31189,2926,"[1,2]","[10402,10423,10424,10427,10436,10900,10901,10902,10905,10907,10920,10924,10946]",0.45
31190,2926,"[1,2]","[10400,10406,10425,10426,10923]",0.45
31191,2926,"[1,2]","[10420,10422,10921]",0.45
31192,2926,"[1,2]","[10401,10403,10411,10413,10415,10445,10447,10914,10916,10941]",0.5
31193,2926,"[1,2]","[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446,10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",0.5
31194,2926,"[1,2]","[10404,10412,10416,10421,10433,10434,10435,10437,10903,10904,10906,10911,10917,10922,10947]",0.5
31195,2926,"[1,2]","[10402,10423,10424,10427,10436,10900,10901,10902,10905,10907,10920,10924,10946]",0.5
31196,2926,"[1,2]","[10400,10406,10425,10426,10923]",0.5
31197,2926,"[1,2]","[10420,10422,10921]",0.5
29927,2793,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
29928,2793,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
29929,2793,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
29930,2793,"[1]",b,"[10402,10423,10424,10427,10436]",
29931,2793,"[2]",b,"[10914,10916,10941]",
29932,2793,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
29933,2793,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
29934,2793,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
29935,2793,"[2]",b,"[10923]",
29936,2793,"[2]",b,"[10921]",
29937,2793,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.4
29938,2793,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.4
29939,2793,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.4
29940,2793,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.4
30214,2793,"[3,4]","[11136]",0.4
29943,2793,"[3,4]","[11101,11103,11104,11106,11127]",0.4
29945,2793,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
29947,2793,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
29949,2793,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
29950,2793,"[1]",b,"[10402,10423,10424,10427,10436]",
29951,2793,"[2]",b,"[10914,10916,10941]",
29952,2793,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
29953,2793,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
29955,2793,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
29958,2793,"[2]",b,"[10923]",
29960,2793,"[2]",b,"[10921]",
29962,2793,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.45
29963,2793,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.45
29964,2793,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.45
29965,2793,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.45
30215,2793,"[3,4]","[11136]",0.45
29967,2793,"[3,4]","[11101,11103,11104,11106,11127]",0.45
29968,2793,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
29969,2793,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
29970,2793,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
29971,2793,"[1]",b,"[10402,10423,10424,10427,10436]",
29972,2793,"[2]",b,"[10914,10916,10941]",
29973,2793,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
29974,2793,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
29975,2793,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
29976,2793,"[2]",b,"[10923]",
29977,2793,"[2]",b,"[10921]",
29978,2793,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.5
29979,2793,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.5
29980,2793,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.5
29981,2793,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.5
30216,2793,"[3,4]","[11136]",0.5
29983,2793,"[3,4]","[11101,11103,11104,11106,11127]",0.5
29984,2660,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
29985,2660,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
29986,2660,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
29987,2660,"[1]",b,"[10402,10423,10424,10427,10436]",
29988,2660,"[2]",b,"[10914,10916,10941]",
29989,2660,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
29990,2660,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
29991,2660,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
29993,2660,"[2]",b,"[10923]",
29995,2660,"[2]",b,"[10921]",
29996,2660,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.4
29997,2660,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.4
29998,2660,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.4
29999,2660,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.4
30217,2660,"[3,4]","[11136]",0.4
30002,2660,"[3,4]","[11101,11103,11104,11106,11127]",0.4
30003,2660,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
30004,2660,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
30005,2660,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
30006,2660,"[1]",b,"[10402,10423,10424,10427,10436]",
30007,2660,"[2]",b,"[10914,10916,10941]",
30008,2660,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
30009,2660,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
30010,2660,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
30011,2660,"[2]",b,"[10923]",
30013,2660,"[2]",b,"[10921]",
30014,2660,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.45
30015,2660,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.45
30016,2660,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.45
30017,2660,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.45
30219,2660,"[3,4]","[11136]",0.45
30019,2660,"[3,4]","[11101,11103,11104,11106,11127]",0.45
31101,2660,"[1,2]","[10401,10403,10411,10413,10415,10445,10447,10914,10916,10941]",0.5
30021,2660,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
30022,2660,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
30023,2660,"[1]",b,"[10402,10423,10424,10427,10436]",
30024,2660,"[2]",b,"[10914,10916,10941]",
30025,2660,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
30026,2660,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
30027,2660,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
30028,2660,"[2]",b,"[10923]",
30029,2660,"[2]",b,"[10921]",
30030,2660,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.5
30031,2660,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.5
30032,2660,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.5
30033,2660,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.5
30222,2660,"[3,4]","[11136]",0.5
30035,2660,"[3,4]","[11101,11103,11104,11106,11127]",0.5
30036,2527,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
30037,2527,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
30038,2527,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
30039,2527,"[1]",b,"[10402,10423,10424,10427,10436]",
30040,2527,"[2]",b,"[10914,10916,10941]",
30041,2527,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
30042,2527,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
30043,2527,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
30044,2527,"[2]",b,"[10923]",
30045,2527,"[2]",b,"[10921]",
30046,2527,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.4
30047,2527,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.4
30048,2527,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.4
30049,2527,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.4
30223,2527,"[3,4]","[11136]",0.4
30051,2527,"[3,4]","[11101,11103,11104,11106,11127]",0.4
30052,2527,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
30053,2527,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
30054,2527,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
30055,2527,"[1]",b,"[10402,10423,10424,10427,10436]",
30056,2527,"[2]",b,"[10914,10916,10941]",
30057,2527,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
30058,2527,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
30059,2527,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
30060,2527,"[2]",b,"[10923]",
30061,2527,"[2]",b,"[10921]",
30062,2527,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.45
30063,2527,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.45
30064,2527,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.45
30065,2527,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.45
30225,2527,"[3,4]","[11136]",0.45
30067,2527,"[3,4]","[11101,11103,11104,11106,11127]",0.45
30068,2527,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
30069,2527,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
30070,2527,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
30071,2527,"[1]",b,"[10402,10423,10424,10427,10436]",
30072,2527,"[2]",b,"[10914,10916,10941]",
30073,2527,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
30074,2527,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
30075,2527,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
30076,2527,"[2]",b,"[10923]",
30077,2527,"[2]",b,"[10921]",
30078,2527,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.5
30079,2527,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.5
30080,2527,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.5
30081,2527,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.5
30226,2527,"[3,4]","[11136]",0.5
30083,2527,"[3,4]","[11101,11103,11104,11106,11127]",0.5
30084,2394,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
30085,2394,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
30086,2394,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
30087,2394,"[1]",b,"[10402,10423,10424,10427,10436]",
30088,2394,"[2]",b,"[10914,10916,10941]",
30089,2394,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
30090,2394,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
30091,2394,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
30092,2394,"[2]",b,"[10923]",
30093,2394,"[2]",b,"[10921]",
30094,2394,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.4
30095,2394,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.4
30096,2394,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.4
30097,2394,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.4
30227,2394,"[3,4]","[11136]",0.4
30099,2394,"[3,4]","[11101,11103,11104,11106,11127]",0.4
30100,2394,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
30101,2394,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
30102,2394,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
30103,2394,"[1]",b,"[10402,10423,10424,10427,10436]",
30104,2394,"[2]",b,"[10914,10916,10941]",
30105,2394,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
30106,2394,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
30107,2394,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
30108,2394,"[2]",b,"[10923]",
30109,2394,"[2]",b,"[10921]",
30110,2394,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.45
30111,2394,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.45
