Run,Threshold,PE,MeanTrgPos,ErrMeanTrgPos,SigmaTrg,ErrSigmaTrg
31503,32,0,245.452122,0.711679669,4.999999885,3.326510159
31503,32,1,243.3811423,0.059900429,3.639538518,0.050720258
31503,32,2,243.6080092,0.029238756,2.106430098,0.027383886
31503,32,3,243.764978,0.018454728,1.461886223,0.017443612
31503,32,4,243.7656695,0.014260723,1.149804207,0.012772754
31503,32,5,243.7179824,0.012294809,0.954696261,0.01037107
31503,32,6,243.7173691,0.011103467,0.852048743,0.009329364
31503,32,7,243.6786906,0.010403963,0.767048769,0.00815283
31503,32,8,243.6479191,0.01037538,0.709300375,0.007538006
31503,32,9,243.6401176,0.011513928,0.687578828,0.00791102
31503,32,10,243.6322143,0.012216371,0.659558237,0.008123882
31503,32,11,243.6006522,0.013231572,0.623067898,0.008937446
31503,32,12,243.5620598,0.013666109,0.597670932,0.009905482
31503,32,13,243.5364766,0.014448409,0.572097085,0.01142079
31503,32,14,243.4723928,0.010815427,0.516939737,0.011929009
31503,32,15,243.4458741,0.008402319,0.477865609,0.006406894
31503,32,16,243.4299706,0.008581149,0.481355582,0.011785232
31503,32,17,243.4150271,0.008366895,0.462609266,0.012273524
31503,32,18,243.3751363,0.00907138,0.464804639,0.011069299
31503,32,19,243.3730222,0.009566979,0.436930726,0.012518294
31503,32,20,243.3577976,0.010387101,0.442697321,0.012361295
31503,32,21,243.3700651,0.010352586,0.45165665,0.012780299
31503,32,22,243.3649173,0.011462835,0.441419331,0.014127646
31503,32,23,243.3452774,0.012151627,0.459859064,0.013006617
31503,32,24,243.3759388,0.013812995,0.436014534,0.018486253
31503,32,25,243.3584061,0.01531937,0.428629346,0.01865509
31503,32,26,243.3815114,0.015547764,0.455327209,0.019959271
31503,32,27,243.3396673,0.018584704,0.452417092,0.019666251
31503,32,28,244.0000345,1.878869747,0.406826679,0.026768604
31503,32,29,244.2495988,0.236634614,0.329709752,0.157328143
31503,32,30,243.327201,0.030309969,0.444054796,0.031184029
31503,32,31,244.1716646,0.15333567,0.340639188,0.081678428