offline_ch,det_center_x,det_center_y,det_center_z,ch_center_z
0,357.295655,578.908875,347.29625,427.19625
1,357.295655,518.159,347.29625,427.19625
2,357.295655,457.409125,347.29625,427.19625
3,357.295655,396.65925,347.29625,427.19625
4,357.295655,335.909375,347.29625,427.19625
5,357.295655,275.1595,347.29625,427.19625
6,357.295655,214.409625,347.29625,427.19625
7,357.295655,153.65975,347.29625,427.19625
8,357.295655,92.909875,347.29625,427.19625
9,357.295655,32.16,347.29625,427.19625
10,357.295655,578.908875,347.29625,377.99625
11,357.295655,518.159,347.29625,377.99625
12,357.295655,457.409125,347.29625,377.99625
13,357.295655,396.65925,347.29625,377.99625
14,357.295655,335.909375,347.29625,377.99625
15,357.295655,275.1595,347.29625,377.99625
16,357.295655,214.409625,347.29625,377.99625
17,357.295655,153.65975,347.29625,377.99625
18,357.295655,92.909875,347.29625,377.99625
19,357.295655,32.16,347.29625,377.99625
20,357.295655,578.908875,347.29625,316.59625
21,357.295655,518.159,347.29625,316.59625
22,357.295655,457.409125,347.29625,316.59625
23,357.295655,396.65925,347.29625,316.59625
24,357.295655,335.909375,347.29625,316.59625
25,357.295655,275.1595,347.29625,316.59625
26,357.295655,214.409625,347.29625,316.59625
27,357.295655,153.65975,347.29625,316.59625
28,357.295655,92.909875,347.29625,316.59625
29,357.295655,32.16,347.29625,316.59625
30,357.295655,578.908875,347.29625,267.39625
31,357.295655,518.159,347.29625,267.39625
32,357.295655,457.409125,347.29625,267.39625
33,357.295655,396.65925,347.29625,267.39625
34,357.295655,335.909375,347.29625,267.39625
35,357.295655,275.1595,347.29625,267.39625
36,357.295655,214.409625,347.29625,267.39625
37,357.295655,153.65975,347.29625,267.39625
38,357.295655,92.909875,347.29625,267.39625
39,357.295655,32.16,347.29625,267.39625
40,357.295655,578.908875,115.23625,195.13625
41,357.295655,518.159,115.23625,195.13625
42,357.295655,457.409125,115.23625,195.13625
43,357.295655,396.65925,115.23625,195.13625
44,357.295655,335.909375,115.23625,195.13625
45,357.295655,275.1595,115.23625,195.13625
46,357.295655,214.409625,115.23625,195.13625
47,357.295655,153.65975,115.23625,195.13625
48,357.295655,92.909875,115.23625,195.13625
49,357.295655,32.16,115.23625,195.13625
50,357.295655,578.908875,115.23625,145.93625
51,357.295655,518.159,115.23625,145.93625
52,357.295655,457.409125,115.23625,145.93625
53,357.295655,396.65925,115.23625,145.93625
54,357.295655,335.909375,115.23625,145.93625
55,357.295655,275.1595,115.23625,145.93625
56,357.295655,214.409625,115.23625,145.93625
57,357.295655,153.65975,115.23625,145.93625
58,357.295655,92.909875,115.23625,145.93625
59,357.295655,32.16,115.23625,145.93625
60,357.295655,578.908875,115.23625,84.53625
61,357.295655,518.159,115.23625,84.53625
62,357.295655,457.409125,115.23625,84.53625
63,357.295655,396.65925,115.23625,84.53625
64,357.295655,335.909375,115.23625,84.53625
65,357.295655,275.1595,115.23625,84.53625
66,357.295655,214.409625,115.23625,84.53625
67,357.295655,153.65975,115.23625,84.53625
68,357.295655,92.909875,115.23625,84.53625
69,357.295655,32.16,115.23625,84.53625
70,357.295655,578.908875,115.23625,35.33625
71,357.295655,518.159,115.23625,35.33625
72,357.295655,457.409125,115.23625,35.33625
73,357.295655,396.65925,115.23625,35.33625
74,357.295655,335.909375,115.23625,35.33625
75,357.295655,275.1595,115.23625,35.33625
76,357.295655,214.409625,115.23625,35.33625
77,357.295655,153.65975,115.23625,35.33625
78,357.295655,92.909875,115.23625,35.33625
79,357.295655,32.16,115.23625,35.33625
80,-357.495655,578.908875,347.29625,427.19625
81,-357.495655,518.159,347.29625,427.19625
82,-357.495655,457.409125,347.29625,427.19625
83,-357.495655,396.65925,347.29625,427.19625
84,-357.495655,335.909375,347.29625,427.19625
85,-357.495655,275.1595,347.29625,427.19625
86,-357.495655,214.409625,347.29625,427.19625
87,-357.495655,153.65975,347.29625,427.19625
88,-357.495655,92.909875,347.29625,427.19625
89,-357.495655,32.16,347.29625,427.19625
90,-357.495655,578.908875,347.29625,377.99625
91,-357.495655,518.159,347.29625,377.99625
92,-357.495655,457.409125,347.29625,377.99625
93,-357.495655,396.65925,347.29625,377.99625
94,-357.495655,335.909375,347.29625,377.99625
95,-357.495655,275.1595,347.29625,377.99625
96,-357.495655,214.409625,347.29625,377.99625
97,-357.495655,153.65975,347.29625,377.99625
98,-357.495655,92.909875,347.29625,377.99625
99,-357.495655,32.16,347.29625,377.99625
100,-357.495655,578.908875,347.29625,316.59625
101,-357.495655,518.159,347.29625,316.59625
102,-357.495655,457.409125,347.29625,316.59625
103,-357.495655,396.65925,347.29625,316.59625
104,-357.495655,335.909375,347.29625,316.59625
105,-357.495655,275.1595,347.29625,316.59625
106,-357.495655,214.409625,347.29625,316.59625
107,-357.495655,153.65975,347.29625,316.59625
108,-357.495655,92.909875,347.29625,316.59625
109,-357.495655,32.16,347.29625,316.59625
110,-357.495655,578.908875,347.29625,267.39625
111,-357.495655,518.159,347.29625,267.39625
112,-357.495655,457.409125,347.29625,267.39625
113,-357.495655,396.65925,347.29625,267.39625
114,-357.495655,335.909375,347.29625,267.39625
115,-357.495655,275.1595,347.29625,267.39625
116,-357.495655,214.409625,347.29625,267.39625
117,-357.495655,153.65975,347.29625,267.39625
118,-357.495655,92.909875,347.29625,267.39625
119,-357.495655,32.16,347.29625,267.39625
120,-357.495655,578.908875,115.23625,195.13625
121,-357.495655,518.159,115.23625,195.13625
122,-357.495655,457.409125,115.23625,195.13625
123,-357.495655,396.65925,115.23625,195.13625
124,-357.495655,335.909375,115.23625,195.13625
125,-357.495655,275.1595,115.23625,195.13625
126,-357.495655,214.409625,115.23625,195.13625
127,-357.495655,153.65975,115.23625,195.13625
128,-357.495655,92.909875,115.23625,195.13625
129,-357.495655,32.16,115.23625,195.13625
130,-357.495655,578.908875,115.23625,145.93625
131,-357.495655,518.159,115.23625,145.93625
132,-357.495655,457.409125,115.23625,145.93625
133,-357.495655,396.65925,115.23625,145.93625
134,-357.495655,335.909375,115.23625,145.93625
135,-357.495655,275.1595,115.23625,145.93625
136,-357.495655,214.409625,115.23625,145.93625
137,-357.495655,153.65975,115.23625,145.93625
138,-357.495655,92.909875,115.23625,145.93625
139,-357.495655,32.16,115.23625,145.93625
140,-357.495655,578.908875,115.23625,84.53625
141,-357.495655,518.159,115.23625,84.53625
142,-357.495655,457.409125,115.23625,84.53625
143,-357.495655,396.65925,115.23625,84.53625
144,-357.495655,335.909375,115.23625,84.53625
145,-357.495655,275.1595,115.23625,84.53625
146,-357.495655,214.409625,115.23625,84.53625
147,-357.495655,153.65975,115.23625,84.53625
148,-357.495655,92.909875,115.23625,84.53625
149,-357.495655,32.16,115.23625,84.53625
150,-357.495655,578.908875,115.23625,35.33625
151,-357.495655,518.159,115.23625,35.33625
152,-357.495655,457.409125,115.23625,35.33625
153,-357.495655,396.65925,115.23625,35.33625
154,-357.495655,335.909375,115.23625,35.33625
155,-357.495655,275.1595,115.23625,35.33625
156,-357.495655,214.409625,115.23625,35.33625
157,-357.495655,153.65975,115.23625,35.33625
158,-357.495655,92.909875,115.23625,35.33625
159,-357.495655,32.16,115.23625,35.33625